1 爱/ài,HSK1,爱,ài,To Love,Wǒ ài wǒ de lǎogōng.,I love my husband.,我爱我的老公,v
2 不客⽓/bùkèqi,HSK1,不客⽓,bùkèqi,You're Welcome,"Dāng biéren shuō xièxie de shíhou, nǐ yào shuō bùkèqi.","You need to say ""you're welcome"" when others say ""thank you"".",当别⼈说谢谢的时候，你要说不客⽓,v
3 吃/chī,HSK1,吃,chī,To Eat,Nǐ xǐhuan chī shénme?,What do you like to eat?,你喜欢吃什么？,v
4 打电话/dǎ diànhuà,HSK1,打电话,dǎ diànhuà,To Make a Telphone Call,Wǒ zhèngzài dǎ diànhuà.,I am making a phone call.,我正在打电话,v
5 读/dú,HSK1,读,dú,To Read,Wǒ yào dú zhè běn shū.,I want to read this book.,我要读这本书,v
6 对不起/duìbuqǐ,HSK1,对不起,duìbuqǐ,Sorry,"Duìbuqǐ, wǒ lái wǎn le.",Sorry to be late.,对不起，我来晚了,v
7 ⼯作/gōngzuò,HSK1,⼯作,gōngzuò,To Work,Wǒ měitiān doū yào gōngzuò.,I need to work everyday.,我每天都要⼯作,v
8 喝/hē,HSK1,喝,hē,To Drink,Nǐ hē lǜchá ma?,Do you drink green tea?,你喝绿茶吗？,v
9 回/huí,HSK1,回,huí,To Come Back,Wǒ dìdi huílái le.,My brother has come back.,我弟弟回来了,v
10 会/huì,HSK1,会,huì,Can,Wǒ huì tán jítā.,I can play guitar.,我会弹吉他,v
11 叫/jiào,HSK1,叫,jiào,To Call,Qǐng jiào wǒ lǎoshī.,Please call me teacher.,请叫我老师,v
12 开/kāi,HSK1,开,kāi,To Open,Bùyào kāimén.,Don't open the door.,不要开门,v
13 看/kàn,HSK1,看,kàn,To Look At,Nǐ zài kàn shénme?,What are you looking at?,你在看什么？,v
14 看见/kànjiàn,HSK1,看见,kànjiàn,To See,Wǒ kànjian le yī gè nánrén.,I saw a man.,我看见了一个男⼈,v
15 来/lái,HSK1,来,lái,To Come,Nǐ huì lái zhōngguó ma?,Will you come to China?,你会来中国吗？,v
16 买/mǎi,HSK1,买,mǎi,To Buy,Wǒ juédìng mǎi yī liàng chē.,I decided to buy a car.,我决定买一辆车,v
17 没关系/méiguānxi,HSK1,没关系,méiguānxi,It Doesn't Matter,Nǐ xǐ bù xǐhuan wǒ doū méiguānxi.,It doesn't matter whether you like me or not.,你喜不喜欢我都没关系,v
18 能/néng,HSK1,能,néng,To Be Able To/Can,Nǐ néng gěi wǒ yī bēi shuǐ ma?,Can you give me a glass of water?,你能给我一杯⽔吗？,v
19 请/qǐng,HSK1,请,qǐng,Please,Qǐng gěi wǒ càidān.,Please give me the menu.,请给我菜单,v
20 去/qù,HSK1,去,qù,To Go,Wǒ xiǎng qù měiguó.,I want to go to America.,我想去美国,v
